Include,Resource,Type,Name
No,https://raw.githubusercontent.com/wikipathways/SARS-CoV-2-WikiPathways/master/gpml/WP4846.gpml,GPML,WP4846
No,https://raw.githubusercontent.com/wikipathways/SARS-CoV-2-WikiPathways/master/gpml/WP4853.gpml,GPML,Linoleic acid metabolism
No,https://raw.githubusercontent.com/wikipathways/SARS-CoV-2-WikiPathways/master/gpml/WP4860.gpml,GPML,WP4860
No,https://raw.githubusercontent.com/wikipathways/SARS-CoV-2-WikiPathways/master/gpml/WP4861.gpml,GPML,WP4861
No,https://raw.githubusercontent.com/wikipathways/SARS-CoV-2-WikiPathways/master/gpml/WP4862.gpml,GPML,WP4862
No,https://raw.githubusercontent.com/wikipathways/SARS-CoV-2-WikiPathways/master/gpml/WP4863.gpml,GPML,HCoVs autophagy (WP4863)
No,https://raw.githubusercontent.com/wikipathways/SARS-CoV-2-WikiPathways/master/gpml/WP4868.gpml,GPML,HCoVs Type I Ifn signaling (WP4868)
No,https://raw.githubusercontent.com/wikipathways/SARS-CoV-2-WikiPathways/master/gpml/WP4880.gpml,GPML,HCoVs Ifn induction (WP4880)
No,https://raw.githubusercontent.com/wikipathways/SARS-CoV-2-WikiPathways/master/gpml/WP4876.gpml,GPML,SARS-CoV-2 NLRP3 Inflammasome (WP4876)
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/Apoptosis/Apoptosis_stable.xml,CellDesigner_SBML,Apoptosis pathway
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/Coagulation%20pathway/Coagulation-pathway_stable.xml,CellDesigner_SBML,Coagulation pathway
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/ER%20Stress/ER_Stress_stable.xml,CellDesigner_SBML,Endoplasmatic Reticulum stress
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/ETC/ETC_stable.xml,CellDesigner_SBML,Electron Transport Chain disruption
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/HMOX1%20pathway/HMOX1_Pathway_stable.xml,CellDesigner_SBML,HMOX1 pathway
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/Interferon%20lambda%20pathway/IFN-lambda_stable.xml,CellDesigner_SBML,Interferon lambda pathway
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/Interferon%20pathway/Interferon1_stable.xml,CellDesigner_SBML,Interferon 1 pathway
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/JNK%20pathway/JNK_pathway_stable.xml,CellDesigner_SBML,JNK pathway
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/PAMP%20signalling/PAMP_signaling_stable.xml,CellDesigner_SBML,PAMP signalling
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/Pyrimidine%20deprivation/Pyrimidine_deprivation_stable.xml,CellDesigner_SBML,Pyrimidine deprivation
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/Renin-angiotensin%20pathway/Renin_angiotensin_stable.xml,CellDesigner_SBML,Renin-angiotensin pathway
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/RTC-and-transcription/RTC-and-transcription_stable.xml,CellDesigner_SBML,SARS-CoV-2 RTC and transcription
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/SARS-CoV-2%20proteins/E/E_protein_stable.xml,CellDesigner_SBML,E protein interactions
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/SARS-CoV-2%20proteins/Nsp4_Nsp6/Nsp4_Nsp6_stable.xml,CellDesigner_SBML,Nsp4 and Nsp6 protein interactions
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/SARS-CoV-2%20proteins/Nsp9/Nsp9_protein_stable.xml,CellDesigner_SBML,Nsp9 protein interactions
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/SARS-CoV-2%20proteins/Nsp14/Nsp14_stable.xml,CellDesigner_SBML,Nsp14 and metabolism
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/SARS-CoV-2%20proteins/Orf3a/Orf3a_stable.xml,CellDesigner_SBML,Orf3a protein interactions
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/Ubiquination%20and%20Protein%20Degradation/Orf10_Cul2_pathway_stable.xml,CellDesigner_SBML,Orf10 Cul2 pathway
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/Virus%20replication%20cycle/Virus_replication_cycle_stable.xml,CellDesigner_SBML,Virus replication cycle
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/Kynurenine%20Pathway/Kynurenine_pathway_stable.xml,CellDesigner_SBML,Kynurenine synthesis pathway
Yes,https://git-r3lab.uni.lu/covid/models/-/raw/master/Curation/TGF%20beta%20pathway/TGFB_pathway_stable.xml,CellDesigner_SBML,TGFbeta signalling
